证券代码,证券简称,营收区域结构
000655.SZ,金岭矿业,山东省内:69.43%;山东省外:30.57%
000656.SZ,金科股份,重庆:51.39%;其他:28.72%;四川:10.97%;江苏:8.91%
000657.SZ,中钨高新,国内销售:67.78%;出口销售:32.22%
000659.SZ,珠海中富,华南:34.66%;西南:26.47%;华北:15.52%;东北:8.35%;西北:7.19%;国外:4.29%;华东:3.43%;华中:0.1%
000661.SZ,长春高新,华东:31.04%;东北:19.58%;华南:11.34%;华中:11.3%;西南:11.2%;华北:11.07%;西北:4.3%;国外:0.17%
000662.SZ,*ST天夏,国内:100%
000663.SZ,*ST永林,国内:81.58%;国外:17.29%;其他业务(地区):1.13%
000665.SZ,湖北广电,湖北省:100%
000666.SZ,经纬纺机,国内:87.38%;其他业务(地区):6.55%;国外收入:6.06%
000667.SZ,美好置业,湖北:47.4%;重庆:23.89%;陕西:17.63%;辽宁:3.89%;其他业务(地区):3.64%;山东:1.78%;广东:1.21%;安徽:0.55%;四川:0.01%
000668.SZ,荣丰控股,长春:97.07%;北京:2.93%
000669.SZ,*ST金鸿,湖南:34.29%;河北:30.3%;湖北地区:11.15%;山东:6.38%;山西:5.85%;宁夏:4.86%;江苏地区:3.18%;北京地区:1.59%;内蒙:1.32%;陕西:1.04%;黑龙江:0.03%
000670.SZ,*ST盈方,境外:97.2%;中国大陆:2.8%
000671.SZ,阳光城,华东:42.78%;华南:26.96%;华中地区:10.42%;西南地区:9.44%;西北:6.87%;华北:1.81%;其他业务(地区):1.72%
000672.SZ,上峰水泥,华东:93.85%;其他地区:6.15%
000673.SZ,*ST当代,中国大陆:100%
000676.SZ,智度股份,国内:84.85%;国外:14.95%;其他业务(地区):0.2%
000677.SZ,恒天海龙,国外:50.45%;国内:46.39%;其他业务(地区):3.16%
000678.SZ,襄阳轴承,国内:64.26%;国外:35.74%
000679.SZ,*ST友谊,大连:90.11%;沈阳:9.35%;邯郸:0.51%;江苏地区:0.03%
000680.SZ,山推股份,国内地区:97.5%;国外:17.54%;其他业务(地区):11.52%;内部抵销:-26.56%
000681.SZ,视觉中国,境内:91.29%;境外:8.71%
000682.SZ,东方电子,国内:92.78%;国外:6.06%;其他业务(地区):1.16%
000683.SZ,远兴能源,内蒙古:58.17%;河南:41.77%;海南地区:0.05%
000685.SZ,中山公用,广东:90.79%;北京市:6.96%;内蒙古:1.74%;浙江省:0.52%
000686.SZ,东北证券,其他地区:89.09%;东北地区:5.59%;华东地区:2.93%;华北地区:1.09%;华南地区:0.58%;西南地区:0.42%;华中地区:0.28%;西北地区:0.03%
000687.SZ,*ST华讯,国内:100%
000688.SZ,国城矿业,国内:96.19%;其他业务(地区):3.81%
000690.SZ,宝新能源,广东:99.99%;山西省:0.01%
000691.SZ,亚太实业,永登县:100%
000692.SZ,惠天热电,辽宁:100%
000695.SZ,滨海能源,东丽区:100%
000697.SZ,炼石航空,国外:94.13%;国内:5.87%
000698.SZ,沈阳化工,其他地区:92.23%;沈阳:7.77%
000700.SZ,模塑科技,国内:87.65%;出口:12.35%
000701.SZ,厦门信达,厦门:74.86%;上海:13.81%;新加坡:4.23%;福州:2.72%;香港:2.02%;济南:0.47%;深圳:0.47%;安溪:0.33%;泉州:0.26%;中山:0.26%;福清:0.22%;三明:0.16%;南平:0.15%;丹阳:0.02%;菏泽:0.01%;芜湖:0.01%
000702.SZ,正虹科技,湖南:49.95%;安徽:27.09%;江苏:7.7%;广西:6.91%;上海:2.41%;吉林:2.1%;湖北:1.71%;河北:1.28%;其他业务(地区):0.8%;黑龙江:0.04%
000703.SZ,恒逸石化,国内:82.5%;国外:17.5%
000705.SZ,浙江震元,国内:99.38%;国外:0.62%
000707.SZ,ST双环,湖北:51.35%;其他:14.36%;湖南:11.12%;两广:9.27%;江浙:7.41%;云贵川:6.49%
000708.SZ,中信特钢,国内:74.13%;其他业务(地区):15.61%;国外:10.26%
000709.SZ,河钢股份,华北:70.42%;华东:17.77%;境外:4.71%;其他业务(地区):4.12%;中南:2.3%;东北:0.31%;西南:0.27%;西北:0.09%
000710.SZ,贝瑞基因,境内:92.08%;出口:7.92%
